ProspectiveBuyerKey,ProspectAlternateKey,FirstName,LastName,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,City,StateProvinceCode,PostalCode
2,3003,Adrienne,Alonso,70,M,F,80000,4,0,Bachelors,Management,1,2,Colma,CA,94014
13,10872839093,Alexandra,Butler,33,S,F,30000,0,0,Partial Hi,Clerical,1,2,Pleasanton,CA,94566
25,21534748700,Adam,Coleman,33,S,M,20000,0,0,High Schoo,Manual,1,1,Colma,CA,94014
32,9393,Alicia,Deng,40,S,F,70000,4,0,Graduate D,Professional,1,0,Concord,CA,94519
35,7210,Allen,Engineer,49,S,M,20000,1,0,Graduate D,Clerical,1,0,Altadena,CA,91001
46,31656616900,Ana,Gonzales,75,M,F,30000,2,0,Partial Co,Clerical,1,2,Concord,CA,94519
65,5573,Alejandro,Jai,34,S,M,20000,0,0,High Schoo,Manual,1,1,Colma,CA,94014
74,9400,Alicia,Kumar,59,M,F,10000,3,0,High Schoo,Manual,1,2,Concord,CA,94519
95,1054,Andy,Moreno,71,S,M,20000,1,0,Bachelors,Clerical,0,0,Long Beach,CA,90802
99,6728,Albert,Munoz,41,M,M,30000,0,0,Bachelors,Clerical,1,0,Downey,CA,90241
106,43015825748,Andrea,Nelson,35,S,F,50000,0,0,Partial Co,Skilled Manual,1,2,Lemon Grove,CA,91945
108,30038343667,Alexia,Patterson,36,S,F,50000,0,0,Graduate D,Skilled Manual,0,0,Concord,CA,94519
111,3091,Ann,Perez,50,S,F,100000,5,0,Bachelors,Professional,1,1,Chula Vista,CA,91910
122,9866,April,Rai,59,M,F,10000,3,0,Partial Co,Manual,1,2,Los Angeles,CA,90012
134,39219276905,Arianna,Rogers,35,M,F,50000,0,0,Graduate D,Skilled Manual,0,0,Long Beach,CA,90802
139,1049,Andy,Ruiz,77,M,M,60000,2,0,Graduate D,Management,1,2,Burbank,CA,91502
172,7207,Allen,Verma,37,S,M,70000,0,0,Partial Co,Professional,1,2,Burbank,CA,91502
179,8013,Alan,Wu,30,S,M,30000,0,0,Partial Hi,Clerical,1,2,La Jolla,CA,92806
196,181,Alvin,Zhou,61,S,M,30000,3,0,Partial Co,Clerical,0,2,Coronado,CA,92118
212,4041,Brendan,Chander,33,S,M,50000,0,0,Partial Co,Skilled Manual,1,2,Beverly Hills,CA,90210
221,40435626500,Bailey,Edwards,66,S,F,60000,4,0,Graduate D,Management,0,2,Colma,CA,94014
225,1499,Barry,Gonzalez,34,M,M,20000,0,0,High Schoo,Manual,1,1,Coronado,CA,92118
243,7308,Bobby,Malhotra,44,M,M,50000,2,0,High Schoo,Skilled Manual,1,2,West Covina,CA,91791
252,9717,Bradley,Nath,44,S,M,40000,0,0,Bachelors,Skilled Manual,1,0,Colma,CA,94014
266,2537,Beth,Ramos,35,S,F,50000,0,0,High Schoo,Skilled Manual,0,2,Lemon Grove,CA,91945
275,613,Briana,Serrano,48,M,F,30000,3,0,High Schoo,Skilled Manual,1,2,Daly City,CA,94015
290,935,Byron,Torres,41,M,M,40000,0,0,Graduate D,Clerical,1,0,Spring Valley,CA,91977
292,9391,Brandy,Verma,65,S,F,50000,5,0,Bachelors,Management,0,2,Burbank,CA,91502
303,8141,Brittney,Yang,47,S,F,10000,1,0,Graduate D,Manual,0,0,Burlingame,CA,94010
306,1974,Bianca,Zeng,55,S,F,20000,1,0,Bachelors,Clerical,1,0,Concord,CA,94519
308,77789807300,Caleb,Adams,67,S,M,70000,5,0,Bachelors,Management,1,2,Lincoln Acres,CA,91950
321,9744,Chad,Bhat,73,S,M,70000,4,0,Graduate D,Management,0,2,Glendale,CA,91203
325,20097878575,Charles,Campbell,69,S,M,70000,5,0,Graduate D,Management,0,2,Chula Vista,CA,91910
332,3094,Cindy,Chandra,91,S,F,10000,3,0,Graduate D,Clerical,0,2,Chula Vista,CA,91910
351,6990,Candace,Garcia,48,M,F,10000,1,0,Graduate D,Manual,1,0,Santa Cruz,CA,95062
363,28584876100,Caroline,Hayes,51,S,F,90000,2,0,Bachelors,Professional,0,1,Concord,CA,94519
369,6010,Colin,Hu,52,M,M,50000,4,0,Graduate D,Skilled Manual,1,0,Colma,CA,94014
374,23111850000,Caleb,Jai,54,M,M,40000,1,0,Partial Co,Clerical,1,1,Colma,CA,94014
400,287,Clarence,Ma,43,M,M,10000,1,0,Bachelors,Manual,1,0,Grossmont,CA,91941
437,41296041607,Courtney,Roberts,54,M,F,40000,1,0,Partial Co,Clerical,1,1,Chula Vista,CA,91910
439,3039,Carmen,Rodriguez,38,M,F,40000,0,0,Bachelors,Clerical,1,0,Bellflower,CA,90706
454,44173949956,Courtney,Scott,57,S,F,20000,2,0,High Schoo,Manual,0,2,Palo Alto,CA,94303
460,5005,Christy,She,34,M,F,40000,0,0,High Schoo,Skilled Manual,0,2,Colma,CA,94014
475,64341189900,Chase,Torres,34,S,M,70000,0,0,High Schoo,Management,0,2,National City,CA,91950
483,821,Clarence,Wang,54,S,M,70000,3,0,Partial Co,Professional,0,2,Oakland,CA,94611
492,283,Clarence,Xu,33,M,M,50000,0,0,Partial Co,Skilled Manual,1,2,Coronado,CA,92118
496,1981,Cara,Yang,38,S,F,10000,0,0,Partial Hi,Manual,0,2,Concord,CA,94519
